project,interestingfiles,t1,t2,duration,suppression,completion,replacement,residual
gridgain_gridgain,2,Hibernate,JPA,15,1.0,0.0,0.0,0.0
CONNECT-Solution_CONNECT,8,Hibernate,JPA,0,0.0,0.0,0.0,1.0
CONNECT-Solution_CONNECT,8,Hibernate,JPA,1,0.0,0.0,0.0,1.0
CONNECT-Solution_CONNECT,8,Hibernate,JPA,8,0.75,0.0,0.0,0.25
CONNECT-Solution_CONNECT,8,Hibernate,JPA,15,0.75,0.0,0.0,0.25
riotfamily_riot,11,Hibernate,JPA,0,0.0,0.90909094,0.0,0.09090909
riotfamily_riot,11,Hibernate,JPA,1,0.0,0.90909094,0.0,0.09090909
riotfamily_riot,11,Hibernate,JPA,8,0.09090909,0.0,0.8181818,0.09090909
riotfamily_riot,11,Hibernate,JPA,15,0.18181819,0.0,0.8181818,0.0
rasea_server,1,Hibernate,JPA,0,0.0,0.0,0.0,1.0
rasea_server,1,Hibernate,JPA,1,0.0,0.0,0.0,1.0
INCF_eeg-database,20,Hibernate,JPA,0,0.0,0.8,0.0,0.2
INCF_eeg-database,20,Hibernate,JPA,1,0.0,0.8,0.0,0.2
INCF_eeg-database,20,Hibernate,JPA,8,0.0,0.8,0.0,0.2
INCF_eeg-database,20,Hibernate,JPA,15,0.0,0.8,0.0,0.2
avshabanov_java-maven-tests,3,Hibernate,JPA,0,0.0,0.33333334,0.0,0.6666667
avshabanov_java-maven-tests,3,Hibernate,JPA,1,0.0,0.33333334,0.0,0.6666667
avshabanov_java-maven-tests,3,Hibernate,JPA,8,0.0,0.33333334,0.0,0.6666667
avshabanov_java-maven-tests,3,Hibernate,JPA,15,0.0,0.33333334,0.0,0.6666667
mariuszs_openxava,1,Hibernate,JPA,0,0.0,0.0,0.0,1.0
mariuszs_openxava,1,Hibernate,JPA,1,0.0,0.0,0.0,1.0
mariuszs_openxava,1,Hibernate,JPA,8,0.0,0.0,0.0,1.0
nasa_mct,3,Hibernate,JPA,0,0.0,0.0,0.0,1.0
nasa_mct,3,Hibernate,JPA,1,0.0,0.0,0.0,1.0
nasa_mct,3,Hibernate,JPA,8,1.0,0.0,0.0,0.0
nasa_mct,3,Hibernate,JPA,15,1.0,0.0,0.0,0.0
rongjihuang_bc-framework,2,Hibernate,JPA,0,0.0,1.0,0.0,0.0
rongjihuang_bc-framework,2,Hibernate,JPA,1,0.0,1.0,0.0,0.0
rongjihuang_bc-framework,2,Hibernate,JPA,8,0.0,1.0,0.0,0.0
rongjihuang_bc-framework,2,Hibernate,JPA,15,0.0,1.0,0.0,0.0
mcarniel_oswing,1,Hibernate,JPA,0,0.0,0.0,0.0,1.0
mcarniel_oswing,1,Hibernate,JPA,1,0.0,0.0,0.0,1.0
mcarniel_oswing,1,Hibernate,JPA,8,0.0,0.0,0.0,1.0
mcarniel_oswing,1,Hibernate,JPA,15,0.0,0.0,0.0,1.0
Silverpeas_Silverpeas-Components,10,Hibernate,JPA,0,0.0,0.0,0.0,1.0
Silverpeas_Silverpeas-Components,10,Hibernate,JPA,1,0.0,0.0,0.0,1.0
Silverpeas_Silverpeas-Components,10,Hibernate,JPA,8,0.0,0.0,0.0,1.0
Silverpeas_Silverpeas-Components,10,Hibernate,JPA,15,0.1,0.0,0.0,0.9
istlab_Alitheia-Core,24,Hibernate,JPA,0,0.0,0.0,0.0,1.0
istlab_Alitheia-Core,24,Hibernate,JPA,1,0.0,0.0,0.0,1.0
istlab_Alitheia-Core,24,Hibernate,JPA,8,0.20833333,0.0,0.0,0.7916667
istlab_Alitheia-Core,24,Hibernate,JPA,15,0.41666666,0.0,0.5,0.083333336
apache_roller,5,Hibernate,JPA,0,0.0,0.0,0.0,1.0
apache_roller,5,Hibernate,JPA,1,0.0,0.0,0.0,1.0
apache_roller,5,Hibernate,JPA,8,0.0,0.0,0.0,1.0
apache_roller,5,Hibernate,JPA,15,0.0,0.0,0.0,1.0
picketlink_picketlink-idm,11,Hibernate,JPA,0,0.0,0.0,0.0,1.0
picketlink_picketlink-idm,11,Hibernate,JPA,1,0.0,0.0,0.0,1.0
picketlink_picketlink-idm,11,Hibernate,JPA,8,0.0,0.0,0.0,1.0
picketlink_picketlink-idm,11,Hibernate,JPA,15,0.0,0.0,0.0,1.0
grails_grails-core,1,Hibernate,JPA,0,0.0,0.0,0.0,1.0
grails_grails-core,1,Hibernate,JPA,1,0.0,0.0,0.0,1.0
grails_grails-core,1,Hibernate,JPA,8,0.0,0.0,0.0,1.0
grails_grails-core,1,Hibernate,JPA,15,0.0,0.0,0.0,1.0
liquibase_liquibase-hibernate,3,Hibernate,JPA,0,0.0,0.0,0.0,1.0
liquibase_liquibase-hibernate,3,Hibernate,JPA,1,0.0,0.0,0.0,1.0
liquibase_liquibase-hibernate,3,Hibernate,JPA,8,0.0,0.0,0.0,1.0
liquibase_liquibase-hibernate,3,Hibernate,JPA,15,0.0,0.0,0.0,1.0
beangle_library,9,Hibernate,JPA,0,0.0,0.0,0.0,1.0
beangle_library,9,Hibernate,JPA,1,0.0,0.11111111,0.0,0.8888889
beangle_library,9,Hibernate,JPA,8,0.11111111,0.11111111,0.0,0.7777778
beangle_library,9,Hibernate,JPA,15,0.8888889,0.11111111,0.0,0.0
joedayz_faces,3,Hibernate,JPA,0,0.0,0.0,0.0,1.0
joedayz_faces,3,Hibernate,JPA,1,1.0,0.0,0.0,0.0
joedayz_faces,3,Hibernate,JPA,8,1.0,0.0,0.0,0.0
joedayz_faces,3,Hibernate,JPA,15,1.0,0.0,0.0,0.0
kimchy_compass,6,Hibernate,JPA,0,0.0,0.0,0.0,1.0
kimchy_compass,6,Hibernate,JPA,1,0.0,0.0,0.0,1.0
kimchy_compass,6,Hibernate,JPA,8,0.0,0.0,0.0,1.0
kimchy_compass,6,Hibernate,JPA,15,0.0,0.0,0.0,1.0
teachus_teachus,6,Hibernate,JPA,0,0.0,0.0,0.0,1.0
teachus_teachus,6,Hibernate,JPA,1,0.0,0.0,0.0,1.0
teachus_teachus,6,Hibernate,JPA,8,0.0,0.0,0.0,1.0
teachus_teachus,6,Hibernate,JPA,15,0.0,0.0,0.0,1.0
wicketstuff_sandbox,3,Hibernate,JPA,0,0.0,0.0,0.0,1.0
wicketstuff_sandbox,3,Hibernate,JPA,1,0.0,0.0,0.0,1.0
wicketstuff_sandbox,3,Hibernate,JPA,8,0.0,0.0,0.0,1.0
wicketstuff_sandbox,3,Hibernate,JPA,15,0.0,0.0,0.0,1.0
cmoulliard_devoxx-2011-hands-on-lab,1,Hibernate,JPA,0,0.0,1.0,0.0,0.0
cmoulliard_devoxx-2011-hands-on-lab,1,Hibernate,JPA,1,0.0,1.0,0.0,0.0
fbihack_portlets,2,Hibernate,JPA,0,0.0,1.0,0.0,0.0
fbihack_portlets,2,Hibernate,JPA,1,0.0,1.0,0.0,0.0
OpenGamma_OG-Platform,3,Hibernate,JPA,0,0.0,0.0,0.0,1.0
OpenGamma_OG-Platform,3,Hibernate,JPA,1,0.0,0.0,0.0,1.0
OpenGamma_OG-Platform,3,Hibernate,JPA,8,0.0,0.0,0.0,1.0
OpenGamma_OG-Platform,3,Hibernate,JPA,15,0.0,0.0,0.0,1.0
openmicroscopy_openmicroscopy,24,Hibernate,JPA,0,0.0,0.0,0.0,1.0
openmicroscopy_openmicroscopy,24,Hibernate,JPA,1,0.0,0.0,0.0,1.0
openmicroscopy_openmicroscopy,24,Hibernate,JPA,8,0.0,0.0,0.0,1.0
openmicroscopy_openmicroscopy,24,Hibernate,JPA,15,0.0,0.0,0.0,1.0
mifos_head,374,Hibernate,JPA,0,0.0,0.0,0.0,1.0
mifos_head,374,Hibernate,JPA,1,0.0,0.0,0.0,1.0
mifos_head,374,Hibernate,JPA,8,0.080213904,0.0,0.0,0.9197861
mifos_head,374,Hibernate,JPA,15,0.101604275,0.0,0.0,0.8983957
picocontainer_picocontainer,1,Hibernate,JPA,0,0.0,0.0,0.0,1.0
picocontainer_picocontainer,1,Hibernate,JPA,1,0.0,0.0,0.0,1.0
picocontainer_picocontainer,1,Hibernate,JPA,8,0.0,0.0,0.0,1.0
picocontainer_picocontainer,1,Hibernate,JPA,15,0.0,0.0,0.0,1.0
tedeling_ehour,14,Hibernate,JPA,0,0.0,0.071428575,0.0,0.9285714
tedeling_ehour,14,Hibernate,JPA,1,0.0,0.071428575,0.0,0.9285714
tedeling_ehour,14,Hibernate,JPA,8,0.0,0.071428575,0.0,0.9285714
tedeling_ehour,14,Hibernate,JPA,15,0.0,0.071428575,0.0,0.9285714
metawidget_metawidget,1,Hibernate,JPA,0,0.0,0.0,0.0,1.0
metawidget_metawidget,1,Hibernate,JPA,1,0.0,0.0,0.0,1.0
metawidget_metawidget,1,Hibernate,JPA,8,0.0,0.0,0.0,1.0
metawidget_metawidget,1,Hibernate,JPA,15,0.0,0.0,0.0,1.0
droolsjbpm_jbpm,2,Hibernate,JPA,0,0.0,1.0,0.0,0.0
droolsjbpm_jbpm,2,Hibernate,JPA,1,0.0,1.0,0.0,0.0
droolsjbpm_jbpm,2,Hibernate,JPA,8,0.0,1.0,0.0,0.0
droolsjbpm_jbpm,2,Hibernate,JPA,15,0.0,1.0,0.0,0.0
jpaoletti_java-presentation-manager,4,JPA,Hibernate,0,0.0,0.0,0.0,1.0
jpaoletti_java-presentation-manager,4,JPA,Hibernate,1,0.0,0.0,0.0,1.0
jpaoletti_java-presentation-manager,4,JPA,Hibernate,8,0.0,0.0,0.0,1.0
jpaoletti_java-presentation-manager,4,JPA,Hibernate,15,0.0,0.0,0.0,1.0
cmoulliard_camel-osgi-servicemix-tutorial,2,JPA,Hibernate,0,0.0,0.5,0.0,0.5
cmoulliard_camel-osgi-servicemix-tutorial,2,JPA,Hibernate,1,0.0,0.5,0.0,0.5
cmoulliard_camel-osgi-servicemix-tutorial,2,JPA,Hibernate,8,0.0,0.5,0.0,0.5
cmoulliard_camel-osgi-servicemix-tutorial,2,JPA,Hibernate,15,0.0,0.5,0.0,0.5
droolsjbpm_droolsjbpm-contributed-experiments,30,JPA,Hibernate,0,0.0,0.0,0.0,1.0
droolsjbpm_droolsjbpm-contributed-experiments,30,JPA,Hibernate,1,0.0,0.0,0.0,1.0
droolsjbpm_droolsjbpm-contributed-experiments,30,JPA,Hibernate,8,0.0,0.0,0.0,1.0
droolsjbpm_droolsjbpm-contributed-experiments,30,JPA,Hibernate,15,0.0,0.0,0.0,1.0
hibernate_hibernate-tools,1,JPA,Hibernate,0,0.0,0.0,0.0,1.0
hibernate_hibernate-tools,1,JPA,Hibernate,1,0.0,0.0,0.0,1.0
hibernate_hibernate-tools,1,JPA,Hibernate,8,0.0,0.0,0.0,1.0
hibernate_hibernate-tools,1,JPA,Hibernate,15,0.0,0.0,0.0,1.0
abiquo_abiquo,53,JPA,Hibernate,0,0.0,0.0,0.0,1.0
abiquo_abiquo,53,JPA,Hibernate,1,0.0,0.0,0.0,1.0
abiquo_abiquo,53,JPA,Hibernate,8,0.0,0.0,0.0,1.0
abiquo_abiquo,53,JPA,Hibernate,15,0.0,0.0,0.0,1.0
societies_SOCIETIES-SCE-Services,35,JPA,Hibernate,0,0.0,0.0,0.0,1.0
societies_SOCIETIES-SCE-Services,35,JPA,Hibernate,1,0.0,0.0,0.0,1.0
societies_SOCIETIES-SCE-Services,35,JPA,Hibernate,8,0.0,0.0,0.0,1.0
societies_SOCIETIES-SCE-Services,35,JPA,Hibernate,15,0.0,0.0,0.0,1.0
gridgain_gridgain,3,JPA,Hibernate,0,0.0,0.33333334,0.0,0.6666667
gridgain_gridgain,3,JPA,Hibernate,1,0.0,0.33333334,0.0,0.6666667
gridgain_gridgain,3,JPA,Hibernate,8,1.0,0.0,0.0,0.0
gridgain_gridgain,3,JPA,Hibernate,15,1.0,0.0,0.0,0.0
rasea_server,12,JPA,Hibernate,0,0.0,0.0,0.0,1.0
rasea_server,12,JPA,Hibernate,1,1.0,0.0,0.0,0.0
INCF_eeg-database,104,JPA,Hibernate,0,0.0,0.15384616,0.0,0.84615386
INCF_eeg-database,104,JPA,Hibernate,1,0.0,0.15384616,0.0,0.84615386
INCF_eeg-database,104,JPA,Hibernate,8,0.0,0.15384616,0.0,0.84615386
INCF_eeg-database,104,JPA,Hibernate,15,0.0,0.15384616,0.0,0.84615386
hibernate_hibernate-search,77,JPA,Hibernate,0,0.0,0.0,0.0,1.0
hibernate_hibernate-search,77,JPA,Hibernate,1,0.0,0.0,0.0,1.0
hibernate_hibernate-search,77,JPA,Hibernate,8,0.0,0.012987013,0.0,0.987013
hibernate_hibernate-search,77,JPA,Hibernate,15,0.0,0.012987013,0.0,0.987013
avshabanov_java-maven-tests,16,JPA,Hibernate,0,0.0,0.0625,0.0,0.9375
avshabanov_java-maven-tests,16,JPA,Hibernate,1,0.0,0.0625,0.0,0.9375
avshabanov_java-maven-tests,16,JPA,Hibernate,8,0.0,0.0625,0.0,0.9375
avshabanov_java-maven-tests,16,JPA,Hibernate,15,0.0,0.0625,0.0,0.9375
mariuszs_openxava,9,JPA,Hibernate,0,0.0,0.0,0.0,1.0
mariuszs_openxava,9,JPA,Hibernate,1,0.0,0.0,0.0,1.0
mariuszs_openxava,9,JPA,Hibernate,8,0.0,0.0,0.0,1.0
nasa_mct,2,JPA,Hibernate,0,0.0,0.0,0.0,1.0
nasa_mct,2,JPA,Hibernate,1,0.0,0.0,0.0,1.0
nasa_mct,2,JPA,Hibernate,8,0.0,0.0,0.0,1.0
nasa_mct,2,JPA,Hibernate,15,0.0,0.0,0.0,1.0
patrikfr_dddsample,2,JPA,Hibernate,0,0.0,0.0,0.0,1.0
patrikfr_dddsample,2,JPA,Hibernate,1,0.5,0.0,0.0,0.5
patrikfr_dddsample,2,JPA,Hibernate,8,1.0,0.0,0.0,0.0
patrikfr_dddsample,2,JPA,Hibernate,15,1.0,0.0,0.0,0.0
rongjihuang_bc-framework,18,JPA,Hibernate,0,0.0,0.11111111,0.0,0.8888889
rongjihuang_bc-framework,18,JPA,Hibernate,1,0.0,0.11111111,0.0,0.8888889
rongjihuang_bc-framework,18,JPA,Hibernate,8,0.16666667,0.11111111,0.0,0.7222222
rongjihuang_bc-framework,18,JPA,Hibernate,15,0.16666667,0.11111111,0.0,0.7222222
itm_wsn-device-drivers,32,JPA,Hibernate,0,0.0,0.0,0.0,1.0
itm_wsn-device-drivers,32,JPA,Hibernate,1,0.0,0.0,0.0,1.0
itm_wsn-device-drivers,32,JPA,Hibernate,8,1.0,0.0,0.0,0.0
itm_wsn-device-drivers,32,JPA,Hibernate,15,1.0,0.0,0.0,0.0
NUBIC_psc-mirror,401,JPA,Hibernate,0,0.0,0.0,0.0,1.0
NUBIC_psc-mirror,401,JPA,Hibernate,1,0.0,0.0,0.0,1.0
NUBIC_psc-mirror,401,JPA,Hibernate,8,0.87531173,0.0,0.0,0.12468828
NUBIC_psc-mirror,401,JPA,Hibernate,15,0.87531173,0.0,0.0,0.12468828
fenix-framework_fenix-framework,4,JPA,Hibernate,0,0.0,0.0,0.0,1.0
fenix-framework_fenix-framework,4,JPA,Hibernate,1,0.0,0.0,0.0,1.0
fenix-framework_fenix-framework,4,JPA,Hibernate,8,0.0,0.0,0.0,1.0
fenix-framework_fenix-framework,4,JPA,Hibernate,15,0.0,0.0,0.0,1.0
fqntxmqee_webframe,7,JPA,Hibernate,0,0.0,0.0,0.0,1.0
fqntxmqee_webframe,7,JPA,Hibernate,1,0.0,0.0,0.0,1.0
fqntxmqee_webframe,7,JPA,Hibernate,8,0.0,0.0,0.0,1.0
fqntxmqee_webframe,7,JPA,Hibernate,15,0.0,0.0,0.0,1.0
SpringSource_spring-webflow,1,JPA,Hibernate,0,0.0,0.0,0.0,1.0
SpringSource_spring-webflow,1,JPA,Hibernate,1,0.0,0.0,0.0,1.0
SpringSource_spring-webflow,1,JPA,Hibernate,8,0.0,0.0,0.0,1.0
SpringSource_spring-webflow,1,JPA,Hibernate,15,1.0,0.0,0.0,0.0
snowdrop_quickstarts,9,JPA,Hibernate,0,0.0,0.0,0.0,1.0
snowdrop_quickstarts,9,JPA,Hibernate,1,0.0,0.0,0.0,1.0
mysema_querydsl,53,JPA,Hibernate,0,0.0,0.0,0.0,1.0
mysema_querydsl,53,JPA,Hibernate,1,0.0,0.0,0.0,1.0
mysema_querydsl,53,JPA,Hibernate,8,0.0,0.0,0.0,1.0
mysema_querydsl,53,JPA,Hibernate,15,0.0,0.0,0.0,1.0
jbossejb3_jboss-ejb3-tutorial,29,JPA,Hibernate,0,0.0,0.0,0.0,1.0
jbossejb3_jboss-ejb3-tutorial,29,JPA,Hibernate,1,0.0,0.0,0.0,1.0
jbossejb3_jboss-ejb3-tutorial,29,JPA,Hibernate,8,0.0,0.0,0.0,1.0
jbossejb3_jboss-ejb3-tutorial,29,JPA,Hibernate,15,0.0,0.0,0.0,1.0
demetriusf_umake,3,JPA,Hibernate,0,0.0,1.0,0.0,0.0
demetriusf_umake,3,JPA,Hibernate,1,0.0,1.0,0.0,0.0
demetriusf_umake,3,JPA,Hibernate,8,1.0,0.0,0.0,0.0
demetriusf_umake,3,JPA,Hibernate,15,1.0,0.0,0.0,0.0
liquibase_liquibase-hibernate,1,JPA,Hibernate,0,0.0,0.0,0.0,1.0
liquibase_liquibase-hibernate,1,JPA,Hibernate,1,0.0,0.0,0.0,1.0
liquibase_liquibase-hibernate,1,JPA,Hibernate,8,0.0,0.0,0.0,1.0
liquibase_liquibase-hibernate,1,JPA,Hibernate,15,0.0,0.0,0.0,1.0
joedayz_faces,7,JPA,Hibernate,0,0.0,0.0,0.0,1.0
joedayz_faces,7,JPA,Hibernate,1,0.0,0.0,0.0,1.0
joedayz_faces,7,JPA,Hibernate,8,0.0,0.0,0.0,1.0
joedayz_faces,7,JPA,Hibernate,15,0.0,0.0,0.0,1.0
kimchy_compass,3,JPA,Hibernate,0,0.0,0.0,0.0,1.0
kimchy_compass,3,JPA,Hibernate,1,0.0,0.0,0.0,1.0
kimchy_compass,3,JPA,Hibernate,8,0.0,0.0,0.0,1.0
kimchy_compass,3,JPA,Hibernate,15,0.0,0.0,0.0,1.0
joedayz_java-samples,10,JPA,Hibernate,0,0.0,0.0,0.0,1.0
joedayz_java-samples,10,JPA,Hibernate,1,0.0,0.0,0.0,1.0
joedayz_java-samples,10,JPA,Hibernate,8,0.0,0.0,0.0,1.0
joedayz_java-samples,10,JPA,Hibernate,15,0.0,0.0,0.0,1.0
cmoulliard_devoxx-2011-hands-on-lab,1,JPA,Hibernate,0,0.0,1.0,0.0,0.0
cmoulliard_devoxx-2011-hands-on-lab,1,JPA,Hibernate,1,0.0,1.0,0.0,0.0
fbihack_portlets,2,JPA,Hibernate,0,0.0,1.0,0.0,0.0
fbihack_portlets,2,JPA,Hibernate,1,0.0,1.0,0.0,0.0
picocontainer_picocontainer,1,JPA,Hibernate,0,0.0,0.0,0.0,1.0
picocontainer_picocontainer,1,JPA,Hibernate,1,0.0,0.0,0.0,1.0
picocontainer_picocontainer,1,JPA,Hibernate,8,0.0,0.0,0.0,1.0
picocontainer_picocontainer,1,JPA,Hibernate,15,0.0,0.0,0.0,1.0
metawidget_metawidget,2,JPA,Hibernate,0,0.0,0.0,0.0,1.0
metawidget_metawidget,2,JPA,Hibernate,1,0.0,0.0,0.0,1.0
metawidget_metawidget,2,JPA,Hibernate,8,1.0,0.0,0.0,0.0
metawidget_metawidget,2,JPA,Hibernate,15,1.0,0.0,0.0,0.0
Jasig_uPortal,4,JPA,Hibernate,0,0.0,0.0,0.0,1.0
Jasig_uPortal,4,JPA,Hibernate,1,0.0,0.0,0.0,1.0
Jasig_uPortal,4,JPA,Hibernate,8,0.0,0.0,0.0,1.0
Jasig_uPortal,4,JPA,Hibernate,15,0.0,0.0,0.0,1.0
droolsjbpm_jbpm,32,JPA,Hibernate,0,0.0,0.0625,0.0,0.9375
droolsjbpm_jbpm,32,JPA,Hibernate,1,0.0,0.0625,0.0,0.9375
droolsjbpm_jbpm,32,JPA,Hibernate,8,0.0,0.0625,0.0,0.9375
droolsjbpm_jbpm,32,JPA,Hibernate,15,0.0,0.0625,0.0,0.9375
jboss-sso_processFlowProvision,3,JPA,Hibernate,0,0.0,0.0,0.0,1.0
jboss-sso_processFlowProvision,3,JPA,Hibernate,1,0.0,0.0,0.0,1.0
jboss-sso_processFlowProvision,3,JPA,Hibernate,8,0.0,0.0,0.0,1.0
jboss-sso_processFlowProvision,3,JPA,Hibernate,15,0.0,0.0,0.0,1.0
